description,name,newest_chapter,url
"Ngươi có hay không nghĩ tới, ở nghê hồng lộng lẫy dưới đô thị , tiềm tàng quái vật thần thoại đến từ cổ đại? Ngươi hay không nghĩ tới, ở nơi ánh trăng treo cao trên đỉnh có thần minh lặn lẽ canh gác nhân gian ? Ngươi có hay không nghĩ tới, ở trong đám đông mãnh liệt tại thành thị hiện đại , tồn tại ...",Ta Học Trảm Thần Trong Bệnh Viện Tâm Thần,Chapter 66,https://truyenqqvn.com/truyen-tranh/ta-hoc-tram-than-trong-benh-vien-tam-than-15082
"Lâu năm xã súc xuyên không đến dị thế giới, vốn định bình an sống qua ngày, lại ngoài ý muốn trói định ""Bị yêu ma công kích liền biến mạnh hệ thống"", từ nay về sau yêu ma tại Cố Thanh Phong trong mắt đột nhiên trở nên mi thanh mục tú lên?! Đánh ta thêm một roi!
",Ta Nuôi Quỷ Ở Trấn Ma Ty,Chapter 265,https://truyenqqvn.com/truyen-tranh/ta-nuoi-quy-o-tran-ma-ty-13572
"Quỷ dị trò chơi buông xuống, đem toàn nhân loại kéo vào quỷ dị thế giới hoàn thành kinh khủng nhiệm vụ, thất bại thì khấu trừ sinh mệnh điểm số, điểm số về không tử vong!
Nào đó nổi tiếng bác sĩ tâm lý triệu một cũng bị kéo vào màn trò chơi này, nhưng chi tiết của hắn mật mã gốc lại xuất hiện không ...",Bởi Vì Cẩn Thận Mà Quá Phận Hung Ác,Chapter 79,https://truyenqqvn.com/truyen-tranh/boi-vi-can-than-ma-qua-phan-hung-ac-14120
"Tác phẩm về Ngự Thú, chuyển thể từ tiểu thuyết cùng tên ""Cựu Nhật Ngự Long"" của tác giả Phong Sa Trung.
",Cựu Nhật Ngự Long,Chapter 25,https://truyenqqvn.com/truyen-tranh/cuu-nhat-ngu-long-14109
"(None,)","Ta, Người Chỉ Cần Nhìn Thấy Thanh Máu, Có Thể Trừng Phạt Thần Linh",Chapter 144,https://truyenqqvn.com/truyen-tranh/ta-nguoi-chi-can-nhin-thay-thanh-mau-co-the-trung-phat-than-linh-14589
"Sinh viên Trần Viễn crush nữ thần Lâm Thư Hình ba năm, lại bị đối phương một cước đạp bay. Sau khi đau khổ lại ngoài ý muốn kích hoạt hệ thống tiền liếm cẩu, còn có 90 tỷ tiền liếm cẩu, công dụng chỉ để simp nữ nhân! Càng xài nhiều tiền, càng thu được các loại thuộc tính. Tên là Liếm Cẩu Kim Hệ Thốn...",Ta Có 90 Tỷ Tiền Liếm Cẩu!,Chapter 58,https://truyenqqvn.com/truyen-tranh/ta-co-90-ty-tien-liem-cau-15079
"Người xuyên việt Diệp Ninh thu hoạch được kim thủ chỉ, chỉ cần sau khi chết liền có thể trở thành Thiên Đế. Thế là hắn bắt đầu điên cuồng tìm đường chết. Nhưng hắn rất nhanh liền phát hiện thế giới này có độc. Đại Chu Nữ Đế: “Gặp một lần Diệp Ninh lầm cả đời, hắn mà chết, trẫm tuyệt không chịu sống ...","Không Nhường Nữa Ta Chết, Ta Liền Thật Vô Địch",Chapter 125,https://truyenqqvn.com/truyen-tranh/khong-nhuong-nua-ta-chet-ta-lien-that-vo-dich-12485
" 

Yuuji Itadori là một thiên tài có tốc độ và sức mạnh, nhưng cậu ấy muốn dành thời gian của mình trong Câu lạc bộ Tâm Linh. Một ngày sau cái chết của ông mình, anh gặp Megumi Fushiguro, người đang tìm kiếm vật thể bị nguyền rủa mà các thành viên CLB đã tìm thấy.

 

Đối mặt với những con quái vật ...",Jujutsu Kaisen - Chú Thuật Hồi Chiến,Chapter 247,https://truyenqqvn.com/truyen-tranh/jujutsu-kaisen-chu-thuat-hoi-chien-5058
"Sau khi linh khí hồi phục, mọi người chắt chiu từng tơ linh khí, chỉ có Lữ Thụ, dựa vào hệ thống điểm cảm xúc tiêu cực , oán hận người khác là trở nên mạnh hơn! Cậu ta chỉ muốn bảo vệ em gái, nhưng mà thời kì lũ lụt khó có thể tránh khỏi, chỉ đành..... tiện oán hận người khác , trở nên mạnh hơn! Vậy...",Đại Vương Tha Mạng,Chapter 875,https://truyenqqvn.com/truyen-tranh/dai-vuong-tha-mang-8635
"Ta nên làm gì nếu xung quanh chỉ toàn là kẻ thù? đừng lo lắng, chỉ cần dựa vào hệ thống đốn ngộ vô hạn, tất cả những gì bạch mỗ cần làm là khiến người khác ghen ăn tức ở với hắn! hấp thụ ghen ghét hắn sẽ học được bất kỳ bí kỹ nào chỉ trong nháy mắt, thoả mãn tu luyện bản thân. vì vậy hắn nuôi rất nh...",Ta Có Thể Đốn Ngộ Vô Hạn,Chapter 49,https://truyenqqvn.com/truyen-tranh/ta-co-the-don-ngo-vo-han-13396
"Tần Phong ngoài ý muốn xuyên qua Hoang Cổ trở thành đại thiếu gia bá chủ Tần gia một phương, vốn tưởng rằng từ đó liền có thể sống cuộc sống phú nhị đại muốn gì nằm bằng, nào ngờ song sinh nhị đệ lại là ""con trai thiên tuyển cấp sử thi"", mình lại là ""thiên mệnh đại phản diện"", vì có thể sống sót, ch...","Nhân Vật Phản Diện Này Có Chút Lương Tâm, Nhưng Không Nhiều!",Chapter 244,https://truyenqqvn.com/truyen-tranh/nhan-vat-phan-dien-nay-co-chut-luong-tam-nhung-khong-nhieu-14131
"Đây là mô tả về manga kể về cậu bạn trai tên Mizugoshi, người luôn rung động trước vẻ dễ thương của cô bạn gái mới quen Atami. Nhưng mỗi khi rung động, cậu ấy lại sôi sùng sục và làm cô ấy bị bỏng. Để bảo vệ cô ấy, Mizugoshi cố gắng giữ bình tĩnh nhưng liệu cậu có thể giữ được sự điềm tĩnh đó không!...",Mizukoshi-Kun Wa Futtō Shitakunainoni,Chapter 3,https://truyenqqvn.com/truyen-tranh/mizukoshi-kun-wa-futt-shitakunainoni-15249
"(None,)",Thần Hồn Võ Đế,Chapter 313,https://truyenqqvn.com/truyen-tranh/than-hon-vo-de-10045
"(None,)",Cách Để Em Bảo Vệ Anh,Chapter 118.2,https://truyenqqvn.com/truyen-tranh/cach-de-em-bao-ve-anh-11225
"Một ngày nọ, tôi ngã xuống và nhớ lại kiếp trước của mình.
Đây thực ra là một cuốn tiểu thuyết harem ngược, trong đó em gái tôi là nhân vật chính, còn tôi là con gái của Công tước Chrisis, huyết ác ma điên loạn. Tôi không có ý định dính líu đến Công tước, nhưng bệnh tình của em gái tôi xấu đi nhanh ...",Nguyện Trở Thành Thanh Kiếm Trung Thành Bảo Vệ Em,Chapter 69,https://truyenqqvn.com/truyen-tranh/nguyen-tro-thanh-thanh-kiem-trung-thanh-bao-ve-em-12862
"(None,)",Tôi Đã Thuần Hóa Một Tên Bạo Chúa Và Chạy Trốn,Chapter 101.2,https://truyenqqvn.com/truyen-tranh/toi-da-thuan-hoa-mot-ten-bao-chua-va-chay-tron-10856
"“Vì lý do gì mà tại sao đột nhiên gia tộc công tước Staton lại muốn cầu hôn mình cơ chứ?”
Lý do cho sự thắc mắc này của cô là bởi vì ai cũng biết rằng gia tộc Staton là một trong những gia tộc lớn mạnh nhất, vốn đã có bề dày lịch sử lâu đời tại đế quốc này.
Một gia tộc với lãnh địa rộng lớn, khối tà...",Cuộc Hôn Nhân Với Công Tước Quái Vật,Chapter 12,https://truyenqqvn.com/truyen-tranh/cuoc-hon-nhan-voi-cong-tuoc-quai-vat-15257
"Thiên kim mù phá sản X hung danh sống bên ngoài Diêm Vương vì đứa nhỏ trong bụng, Lộc Chi Lụa bị ép gả cho đại đại nợ điên cuồng, tất cả mọi người đều đoán nàng không sống được ngày sinh con, lại không nghĩ tới... Dường như sống rất tốt? Chính là người chồng không quen biết của cô luôn cho rằng cô y...",Thiên Kim Mù Phá Sản Và Tổng Tài Diêm Vương,Chapter 173,https://truyenqqvn.com/truyen-tranh/thien-kim-mu-pha-san-va-tong-tai-diem-vuong-14106
"Onepunch-Man là một Manga thể loại siêu anh hùng với đặc trưng phồng tôm đấm phát chết luôn… Lol!!! Nhân vật chính trong Onepunch-man là Saitama, một con người mà nhìn đâu cũng thấy “tầm thường”, từ khuôn mặt vô hồn, cái đầu trọc lóc, cho tới thể hình long tong. Tuy nhiên, con người nhìn thì tầm thư...",Onepunch Man,Chapter 246,https://truyenqqvn.com/truyen-tranh/onepunch-man-244
"Thế giới trò chơi nguy hiểm ""Ý chí địa cầu"" đầy quái vật dung hợp với thế giới thực, nhân loại sống trong bờ vực diệt vong. Hạ Dạ tưởng mình là gà mờ không có thiên phú, nhưng lại không biết bản thân là tên BOSS cuối cùng trong trò chơi, cường đại vô địch, ngay cả tên nam nhân số mệnh đã định sẽ đán...",Tôi Vậy Mà Lại Là Trùm Cuối,Chapter 25,https://truyenqqvn.com/truyen-tranh/toi-vay-ma-lai-la-trum-cuoi-15253
"Vào sinh nhật lần thứ 40 của mình, ông chú Daisuke Koga - một người đam mê trò airsoft - bị triệu hồi đến thế giới khác. Được trao cho khả năng biến súng hơi thành súng thật, ông chú phải giải cứu thế giới khác trong khi đi qua lại giữa thế giới thật và thế giới fantasy. Cùng với nàng kiếm sĩ Rena, ...","Cuộc Sống ""Thiện Xạ"" Của Ông Chú Được Triệu Hồi Sang Dị Giới",Chapter 2,https://truyenqqvn.com/truyen-tranh/cuoc-song-thien-xa-cua-ong-chu-duoc-trieu-hoi-sang-di-gioi-15261
"Một ngày nọ, sau khi Thường Đình đọc xong cuốn tiểu thuyết thể loại tận thế, trong thế giới lặng yên đó, những gì trong tiểu thuyết đã trở thành hiện thực. Từ tòa cao ốc biến mất ly kỳ cho đến sự xuất hiện của quái thú ở một thời điểm và địa điểm cố định, mọi thứ đều đang phát triển dựa theo tiểu th...",Thâm Uyên Chi Chủng,Chapter 5,https://truyenqqvn.com/truyen-tranh/tham-uyen-chi-chung-15260
"Thể chất bình thường? Thần thông khó luyện? Đốn ngộ liền xong việc! Đối với Tiêu Vân mà nói, không có chuyện gì là đốn ngộ không giải quyết được, nếu có, đốn ngộ thêm một lần nữa là được!
",Vô Địch Đốn Ngộ,Chapter 166,https://truyenqqvn.com/truyen-tranh/vo-dich-don-ngo-13810
